transcriptid	foldchange	DEstatus
0 rna-NM_001272158.1 NC_004353.4+ 1124167-1124331,1124436-1124698,1124768-1124893,1124950-1125113	1	FALSE
1 rna-NM_079892.3 NC_004353.4+ 1124167-1124331,1124436-1124698,1124768-1124893,1124950-1125325	1	FALSE
2 rna-NM_001014697.2 NC_004353.4+ 1088798-1088876,1092259-1092628,1095576-1095716,1095794-1095832,1101934-1102099,1103535-1103732,1106152-1106597,1107699-1107790,1108098-1108344,1108480-1108572,1109109-1109600,1110781-1110888,1111288-1113317	1	FALSE
3 rna-NM_001014698.3 NC_004353.4+ 1088798-1089062,1092259-1092628,1095576-1095716,1095794-1095832,1101934-1102099,1103535-1103732,1106152-1106597,1107699-1107790,1108098-1108344,1108474-1108572,1110781-1110974	1	FALSE
4 rna-NM_001014699.3 NC_004353.4+ 1088798-1089062,1092259-1092628,1095576-1095716,1095794-1095832,1101934-1102099,1103535-1103732,1106152-1106597,1107699-1107790,1108098-1108344,1108474-1108572,1109109-1109600,1110781-1110974	1	FALSE
5 rna-NM_001014701.2 NC_004353.4+ 1088798-1089062,1092259-1092628,1095576-1095716,1095794-1095832,1101934-1102099,1103535-1103732,1106152-1106597,1107699-1107790,1108098-1108344,1108474-1108572,1110781-1110888,1111288-1113317	1	FALSE
6 rna-NM_001169363.2 NC_004353.4+ 1098525-1098958,1101934-1102099,1103535-1103732,1106152-1106597,1107699-1107790,1108098-1108344,1110781-1110888,1111288-1113317	1	FALSE
7 rna-NM_079894.4 NC_004353.4+ 1088798-1089062,1092259-1092628,1095576-1095716,1095794-1095832,1101934-1102099,1103535-1103732,1106152-1106597,1107699-1107790,1108098-1108344,1108474-1108572,1109109-1109600,1110781-1110888,1111288-1113317	1	FALSE
8 rna-NM_166822.4 NC_004353.4+ 1088798-1089062,1092259-1092628,1095576-1095716,1095794-1095832,1101934-1102099,1103535-1103732,1106152-1106597,1107699-1107790,1108098-1108344,1110781-1110888,1111288-1113317	1	FALSE
9 rna-NM_001272147.1 NC_004353.4+ 936819-936929,938332-939117,940174-940717,942767-943020,943103-943209,943548-943673,943734-944253,944306-944601,946225-949441	1	FALSE
10 rna-NM_001272148.1 NC_004353.4+ 936819-936929,938332-939117,940174-940717,942767-943020,943103-943673,943734-944486	1	FALSE
11 rna-NM_001297789.1 NC_004353.4+ 936819-936929,938332-939117,942767-943020,943103-943209,943548-943673,943734-944253,944306-944601,946225-946825	1	FALSE
12 rna-NM_079900.3 NC_004353.4+ 936819-936929,938332-939117,940174-940717,942767-943020,943103-943209,943548-943673,943734-944253,944306-944601,946225-946825	1	FALSE
13 rna-NM_001272152.1 NC_004353.4+ 1031484-1031742,1031803-1031953,1032889-1033218,1033272-1034557	1	FALSE
14 rna-NM_001297790.1 NC_004353.4+ 1031864-1031953,1032907-1033218,1033272-1034917	1	FALSE
15 rna-NM_166808.3 NC_004353.4+ 1031864-1031953,1032907-1033218,1033272-1034557	1	FALSE
16 rna-NM_143684.3 NC_004353.4+ 1126602-1126752,1126809-1126941,1127002-1127415,1128489-1128655,1129435-1129488,1129566-1129730,1130025-1130183,1130383-1130586,1131193-1131396,1131489-1131593,1131701-1131958,1133875-1134072,1135094-1135484,1135539-1135914	1	FALSE
17 rna-NM_166824.3 NC_004353.4+ 1126602-1126752,1126809-1126941,1127002-1127415,1128489-1128655,1129435-1129488,1129566-1129730,1130025-1130183,1130383-1130586,1131193-1131396,1131489-1131593,1131701-1131958,1132085-1132573,1133875-1134072,1134152-1135094	1	FALSE
18 rna-NM_166825.3 NC_004353.4+ 1126602-1126752,1126809-1126941,1127002-1127415,1128489-1128655,1129435-1129488,1129566-1129730,1130025-1130183,1130383-1130586,1131193-1131396,1131489-1131593,1131701-1131958,1133875-1134072,1135094-1135484,1135539-1137919	1	FALSE
