transcriptid	foldchange	DEstatus
0 CHS.34254.1 chr21+ 5011163-5011874,5012548-5012687,5014386-5014471,5016932-5017158	1	FALSE
1 CHS.34254.2 chr21+ 5012324-5012411,5012548-5012687,5014386-5014471,5016932-5017158	1	FALSE
2 CHS.34254.3 chr21+ 5012324-5012411,5012548-5012687,5014386-5014471,5016935-5017158	1	FALSE
3 CHS.34255.1 chr21- 5011976-5012370,5012556-5012684	1	FALSE
4 CHS.34256.1 chr21+ 5022044-5022693,5025009-5025049,5026280-5026630,5027935-5028225,5032053-5032217,5033408-5034575	1	FALSE
5 CHS.34256.2 chr21+ 5022044-5022693,5025009-5025049,5026280-5026630,5027935-5028225,5032053-5032217,5033408-5033443,5034080-5034575	1	FALSE
6 CHS.34256.3 chr21+ 5022044-5022693,5025009-5025049,5026280-5026630,5027935-5028225,5032053-5032217,5033408-5033443,5034582-5036775	1	FALSE
7 CHS.34256.4 chr21+ 5022044-5022693,5025009-5025049,5026280-5026630,5027935-5028225,5032053-5032217,5033408-5033443,5045419-5046678	1	FALSE
8 CHS.34257.1 chr21+ 5055735-5056469,5056882-5057143,5060445-5061104,5061713-5061792	1	FALSE
9 CHS.34257.2 chr21+ 5055735-5056469,5056882-5057143,5060445-5061847,5062655-5062892	1	FALSE
10 CHS.34257.3 chr21+ 5055736-5056469,5056882-5057143,5061713-5061878	1	FALSE
11 CHS.34258.1 chr21+ 5071218-5071798,5073524-5073685,5086819-5087153,5087617-5089824	1	FALSE
12 CHS.34258.2 chr21+ 5072909-5073685,5086819-5087153,5087617-5089824	1	FALSE
13 CHS.34258.3 chr21+ 5073458-5073685,5087617-5087867	1	FALSE
14 CHS.34258.4 chr21+ 5086657-5086717,5086819-5087153,5087617-5089824	1	FALSE
15 CHS.34259.1 chr21- 5076924-5086311,5086436-5086565	1	FALSE
16 CHS.34259.2 chr21- 5081820-5086241,5086436-5086573	1	FALSE
17 CHS.34259.3 chr21- 5083817-5084488,5084759-5086110	1	FALSE
18 CHS.34260.1 chr21+ 5093385-5093675,5093745-5096166	1	FALSE
19 CHS.34261.1 chr21- 5097172-5099338,5121711-5121803,5124756-5124875,5125879-5125992,5127084-5127539	1	FALSE
20 CHS.34261.2 chr21- 5097172-5099338,5121711-5121803,5124756-5124875,5125879-5125992,5127898-5127950,5128214-5128453	1	FALSE
21 CHS.34261.3 chr21- 5099338-5118847,5121711-5121803,5124756-5124875,5125879-5125992,5127898-5127950,5128031-5128462	1	FALSE
22 CHS.34261.4 chr21- 5099338-5118847,5121711-5121803,5124756-5124875,5125879-5125992,5127898-5127950,5128069-5128126,5128214-5128462	1	FALSE
23 CHS.34261.5 chr21- 5116187-5118847,5121711-5121803,5124756-5124875,5125025-5125992,5127898-5127950,5128145-5128435	1	FALSE
24 CHS.34261.6 chr21- 5116264-5118847,5121711-5121803,5124675-5124875,5125879-5125992,5127898-5127950,5128069-5128444	1	FALSE
