transcriptid	foldchange	DEstatus
0 rna-NM_001110622.3 NC_004353.4+ 879-1079,1144-1410,1768-3851,4353-4527,4592-4824,4875-5039	1	FALSE
1 gene-Dmel_CR32011 NC_004353.4- 5829-6041,6541-6723,7745-8281,8340-8675,8730-11765	1	FALSE
2 gene-Dmel_CR32010 NC_004353.4- 12640-12825,13323-13505,20970-21553,21612-21947,22002-25054	1	FALSE
3 gene-Dmel_CR32009 NC_004353.4- 27020-27205,27703-27885,28907-29490,29549-31633	1	FALSE
4 rna-NM_001258471.2 NC_004353.4- 32478-33125,33191-33373,35874-36457,36516-41285,42914-43778	1	FALSE
5 rna-NM_079877.4 NC_004353.4- 32812-33125,33191-33373,35874-36457,36516-41285,42914-43778	1	FALSE
6 rna-NR_123741.1 NC_004353.4+ 42774-43157,43231-43374	1	FALSE
7 rna-NR_123742.1 NC_004353.4+ 44774-45417,45487-46074	1	FALSE
8 rna-NM_001258473.1 NC_004353.4- 47710-50462,50516-50680,50745-51257,51314-51954,52017-52384,56291-57041	1	FALSE
9 rna-NM_001258472.2 NC_004353.4- 47710-50462,50516-50613,50745-51257,51314-51954,52017-52384,55831-56331	1	FALSE
10 rna-NM_079878.5 NC_004353.4- 47710-50462,50516-50680,50745-51257,51314-51954,52017-52384,55831-56331	1	FALSE
11 rna-NR_073611.1 NC_004353.4+ 56497-56549,57240-57411,59976-60415,62973-63124	1	FALSE
12 rna-NR_073612.1 NC_004353.4+ 56497-56549,57240-57411,59976-60415,60570-60974	1	FALSE
13 rna-NM_001258475.2 NC_004353.4- 65225-65521,66000-66049,66105-66738,66840-67207	1	FALSE
14 rna-NM_166714.4 NC_004353.4- 66197-66738,66840-66991,67048-67207	1	FALSE
15 rna-NM_079879.4 NC_004353.4- 66197-66738,66840-67207	1	FALSE
16 rna-NR_073613.1 NC_004353.4- 65577-65645	1	FALSE
17 rna-NM_001258476.2 NC_004353.4+ 69326-69981,72321-72335,72404-72594,72817-72862,75068-75165,82638-82746,85712-85799,85853-85933,87017-87166,94423-94615,97822-97975,99406-99475,104083-104528,107403-110059	1	FALSE
18 rna-NM_001014685.3 NC_004353.4+ 69326-69981,72321-72335,72404-72594,72817-72862,75068-75165,82638-82746,85712-85799,85853-85933,87017-87166,94423-94615,97822-97975,99406-99475,107403-109770	1	FALSE
19 rna-NM_166723.3 NC_004353.4+ 69326-69981,72321-72335,72404-72594,72817-72862,75068-75165,82638-82746,85712-85799,85853-85933,87017-87166,94423-94615,94837-95002,99406-99475,107403-108372,108427-108694	1	FALSE
20 rna-NM_079880.6 NC_004353.4+ 69326-69849,72321-72335,72404-72594,72817-72862,75068-75165,82638-82746,85712-85799,85853-85933,87017-87166,94423-94615,94837-95002,99406-99475,107403-108694	1	FALSE
21 rna-NM_001038709.3 NC_004353.4+ 69326-69981,72321-72335,72404-72594,72817-72862,75068-75165,82638-82746,85712-85799,85853-85933,87017-87166,94423-94615,97822-97975,99406-101419	1	FALSE
22 rna-NM_001258477.2 NC_004353.4+ 69653-69981,72321-72594,72817-72862,75068-75165,82638-82746,85712-85799,85853-85933,87017-87166,94423-94615,94837-95002,99406-99475,107403-114270	1	FALSE
23 rna-NM_166718.3 NC_004353.4+ 69653-69849,72321-72594,72817-72862,75068-75165,82638-82746,85712-85799,85853-85933,87017-87166,94423-94615,94837-95002,99406-99475,107403-110059	1	FALSE
24 rna-NM_166720.3 NC_004353.4+ 70405-70567,72321-72594,72817-72862,75068-75165,82638-82746,85712-85799,85853-85933,87017-87166,94423-94615,94837-95002,99406-99475,107403-110059	1	FALSE
25 rna-NM_166724.4 NC_004353.4+ 90355-93273,94423-94615,94837-95002,99406-99475,107403-110059	1	FALSE
26 rna-NM_001169348.2 NC_004353.4- 115074-115202,115258-116004,116686-118501,118555-118779,118838-118931,119888-120212,120858-121799,121853-121956,122309-123422,123785-123892,129322-129442,129798-129849	1	FALSE
